Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Belarus,BLR,2016,24.2,Europe
Belgium,BEL,2016,19.3,Europe
Bosnia and Herzegovina,BIH,2016,10.5,Europe
Bulgaria,BGR,2016,9.7,Europe
Croatia,HRV,2016,16.4,Europe
Cyprus,CYP,2016,4.6,Europe
Denmark,DNK,2016,10.9,Europe
Estonia,EST,2016,15.7,Europe
Finland,FIN,2016,15.2,Europe
France,FRA,2016,14.9,Europe
Georgia,GEO,2016,10.7,Europe
Germany,DEU,2016,13,Europe
Greece,GRC,2016,4.7,Europe
Hungary,HUN,2016,18.7,Europe
Iceland,ISL,2016,13,Europe
Ireland,IRL,2016,10,Europe
Italy,ITA,2016,6.6,Europe
Latvia,LVA,2016,21.3,Europe
Lithuania,LTU,2016,32.8,Europe
Luxembourg,LUX,2016,10.2,Europe
Malta,MLT,2016,5.8,Europe
Moldova,MDA,2016,15.9,Europe
Montenegro,MNE,2016,20.8,Europe
Netherlands,NLD,2016,11.9,Europe
Norway,NOR,2016,12.6,Europe
Poland,POL,2016,13.8,Europe
Portugal,PRT,2016,11.4,Europe
Romania,ROU,2016,10.2,Europe
Serbia,SRB,2016,15.2,Europe
Slovakia,SVK,2016,12.3,Europe
Slovenia,SVN,2016,19,Europe
Spain,ESP,2016,7.8,Europe
Sweden,SWE,2016,14.6,Europe
Switzerland,CHE,2016,14.1,Europe
Ukraine,UKR,2016,21.4,Europe
United Kingdom,GBR,2016,8.5,Europe
Albania,ALB,2017,4.7,Europe
Armenia,ARM,2017,3,Europe
Austria,AUT,2017,15.4,Europe
Azerbaijan,AZE,2017,4,Europe
Belarus,BLR,2017,23.3,Europe
Belgium,BEL,2017,18.9,Europe
Bosnia and Herzegovina,BIH,2017,10.5,Europe
Bulgaria,BGR,2017,10.3,Europe
Croatia,HRV,2017,15.7,Europe
Cyprus,CYP,2017,3.7,Europe
Denmark,DNK,2017,11.3,Europe
Estonia,EST,2017,18.7,Europe
Finland,FIN,2017,15.9,Europe
France,FRA,2017,14.6,Europe
Georgia,GEO,2017,9.6,Europe
Germany,DEU,2017,12.6,Europe
Greece,GRC,2017,5.1,Europe
Hungary,HUN,2017,17.5,Europe
Iceland,ISL,2017,12.2,Europe
Ireland,IRL,2017,10,Europe
Italy,ITA,2017,7.1,Europe
Latvia,LVA,2017,21.4,Europe
Lithuania,LTU,2017,29.7,Europe
Luxembourg,LUX,2017,9.8,Europe
Malta,MLT,2017,5.5,Europe
Moldova,MDA,2017,14.9,Europe
Montenegro,MNE,2017,21.1,Europe
Netherlands,NLD,2017,12.1,Europe
Norway,NOR,2017,12.1,Europe
Poland,POL,2017,13.3,Europe
Portugal,PRT,2017,12,Europe
Romania,ROU,2017,10.1,Europe
Serbia,SRB,2017,0.6,Europe
Slovakia,SVK,2017,12.3,Europe
Slovenia,SVN,2017,20.9,Europe
Spain,ESP,2017,8.2,Europe
Sweden,SWE,2017,15,Europe
Switzerland,CHE,2017,14.6,Europe
Ukraine,UKR,2017,20.6,Europe
United Kingdom,GBR,2017,8.2,Europe
Albania,ALB,2018,4.5,Europe
Armenia,ARM,2018,2.1,Europe
